p_val avg_log2FC pct.1 pct.2 p_val_adj gene
5.99278813683713e-09 0.508802130291391 0.14 0.098 0.000160858419168982 MRPS16
6.95030206129606e-09 0.354244749395595 0.265 0.2 0.000186560007929309 DHRS7
7.01311183427479e-09 0.412955752283456 0.185 0.134 0.000188245947855604 QTRT1
7.97472028924829e-09 0.367778994530463 0.116 0.075 0.000214057442004003 ENOSF1
9.27952953780256e-09 0.289723640311901 0.127 0.078 0.000249081131853696 BATF
9.7727076849666e-09 0.648490962713377 0.141 0.091 0.000262319019679874 NAPRT
1.04931856766851e-08 0.262537184379207 0.539 0.456 0.000281658089933582 POLD4
1.08460098515367e-08 0.479589379216656 0.179 0.122 0.000291128596434948 PCBD1
1.15767290434343e-08 0.33839196280016 0.316 0.244 0.000310742560983864 TMED9
1.31460764714693e-08 0.495417597086305 0.174 0.112 0.00035286698464718 SDF2L1
1.35615553660765e-08 0.564918848986933 0.255 0.185 0.000364019269136226 HLA-DOB
1.43041272824591e-08 0.259980473088407 0.131 0.098 0.000383951384515768 RPS6KA1
1.60201617436913e-08 0.447844702726284 0.205 0.141 0.000430013181524161 FKBP2
1.82373878682747e-08 0.263309493687016 0.534 0.47 0.00048952796516023 UBL5
2.04941884441807e-08 0.463550471780522 0.244 0.169 0.0005501050062187 JADE2
2.10845819305205e-08 0.685517699558935 0.175 0.113 0.000565952348179032 SUSD3
2.13781224887131e-08 0.292380182682316 0.413 0.33 0.000573831563842038 C16orf74
2.17888754630218e-08 0.413875848961108 0.184 0.117 0.000584856995178431 CHST15
2.46936344692272e-08 0.286644052820556 0.44 0.348 0.000662826536422995 TMEM59
2.57576112030849e-08 0.28110638691729 0.232 0.169 0.000691385799913205 HM13
2.77935496599039e-08 0.501361649071757 0.132 0.082 0.00074603445997114 NREP
2.92158355349543e-08 0.263359260780981 0.406 0.335 0.000784211457429245 GNB2
3.05053905810542e-08 0.440140609787885 0.163 0.101 0.000818825693976657 LMO4
3.16346305865708e-08 0.527284985865268 0.178 0.122 0.000849136754204733 LAGE3
3.66014325136702e-08 0.321968752327771 0.246 0.178 0.000982455651531936 MRPL41
4.14158156138315e-08 0.385248069219198 0.153 0.106 0.00111168332270647 TCTN3
4.45759820797745e-08 0.419836658972064 0.137 0.092 0.00119650851098531 HSD17B4
4.58545304070966e-08 0.750719339570755 0.101 0.056 0.00123082730518729 IRF2BP1
4.91206533365842e-08 0.404233759413344 0.159 0.118 0.00131849657686059 MRPL40
4.94360035855679e-08 0.270431792840356 0.438 0.37 0.00132696120824381 RAB11B
5.12082821191828e-08 0.278371054921802 0.308 0.242 0.0013745327086431 GADD45GIP1
5.46458667407022e-08 0.395796650854364 0.131 0.097 0.00146680435505393 EBPL
5.96277569287848e-08 0.356470154204834 0.214 0.147 0.00160052825148244 CLPTM1L
5.99121033439201e-08 0.387311923904037 0.161 0.109 0.0016081606779575 NSMCE1
6.27112293909984e-08 0.537002941957987 0.103 0.073 0.00168329481931318 CBX1
6.51013543817507e-08 0.576427513867397 0.113 0.066 0.00174745055431495 PRCD
7.46467135395318e-08 0.396266202198648 0.204 0.147 0.00200366708482811 MRPS34
8.94406018216325e-08 0.443570173952555 0.244 0.179 0.00240076463409626 PNKD
9.29464947771939e-08 0.31287656111634 0.162 0.114 0.00249486981280944 SEC24D
9.41367355646507e-08 0.520629859632114 0.207 0.14 0.00252681825602635 SIT1
1.07477378011653e-07 0.260222831009382 0.33 0.277 0.00288490778058879 STUB1
1.109582365125e-07 0.29971186653955 0.21 0.157 0.00297834098446852 UBE2L6
1.17627450049642e-07 0.38837590848337 0.223 0.166 0.00315735601423249 EPRS
1.2494514359905e-07 0.557764867343872 0.193 0.273 0.00335377754448569 IGHV3-7
1.3667134070337e-07 0.280049645689177 0.164 0.095 0.00366853212715984 PATJ
1.4042548425816e-07 0.61999659923823 0.114 0.061 0.00376930084845752 MROH1
1.55972167489911e-07 0.368532201338224 0.298 0.228 0.00418660491976419 TMEM230
1.6464148943147e-07 0.489543040305518 0.148 0.095 0.00441930685931953 MANF
1.72438932033856e-07 0.264460752326718 0.327 0.271 0.00462860581365277 LRP10
1.76500740415324e-07 0.331774772914139 0.51 0.432 0.00473763287422811 CTSH
1.83997084951428e-07 0.294491789441626 0.244 0.177 0.00493884975426624 SSR1
1.94312613246954e-07 1.00765058685756 0.235 0.174 0.00521573916477474 PNOC
1.97979783969761e-07 0.390824408017394 0.338 0.271 0.00531417336131632 SNHG32
2.19737964749975e-07 0.385195828008833 0.289 0.223 0.00589820644981883 LMAN2
2.60609694943968e-07 0.634414843344419 0.126 0.073 0.00699528543168599 GADD45A
2.60991859432174e-07 0.313872912902951 0.133 0.094 0.00700554349087842 CASP1
2.66486122559277e-07 0.690694806248483 0.142 0.09 0.00715302050173611 CYHR1
2.87083976441769e-07 0.506152722753107 0.186 0.129 0.00770590809564997 TMEM14C
2.90416962586739e-07 0.373543810319318 0.155 0.112 0.00779537210975325 TMEM238
3.0354540090339e-07 0.33533636262086 0.251 0.192 0.00814776565104879 REPIN1
3.69724749868526e-07 0.26143282436781 0.131 0.1 0.00992415173597098 UROS
3.94964529577908e-07 0.528803283550924 0.12 0.077 0.0106016379029302 RHOC
4.06700335136588e-07 0.329124627105055 0.485 0.393 0.0109166503957363 C19orf53
4.12561783213637e-07 0.294535248853264 0.285 0.221 0.0110739833850204 CKLF
4.16315117503684e-07 0.303921744401599 0.261 0.206 0.0111747303840339 RNF167
4.21252143149338e-07 0.298646128212372 0.376 0.302 0.0113072500264145 TMEM219
4.41751100868134e-07 0.331827957075071 0.208 0.16 0.0118574830495024 ECI1
4.96843593927775e-07 0.281345393638523 0.647 0.561 0.0133362757482093 POU2F2
5.27113348088612e-07 0.266385704202834 0.378 0.304 0.0141487764893945 RPN2
5.54453904033245e-07 0.424233870553327 0.214 0.161 0.0148826516920604 RNF187
5.86387531350327e-07 0.267028129961479 0.232 0.186 0.0157398141165055 TMEM179B
6.09704891132827e-07 0.306826819338572 0.383 0.321 0.0163656986877874 WBP2
6.28500199347397e-07 0.306756763089007 0.227 0.17 0.0168702023508828 NDUFS8
6.93467091346309e-07 0.545553184976706 0.121 0.075 0.0186140436659176 DPY30
7.04065712237851e-07 0.372039687696231 0.396 0.323 0.0188985318478884 PKIG
7.47472312839233e-07 0.287751555015336 0.238 0.188 0.0200636518212307 CCT3
7.48037944433557e-07 0.346731207092264 0.331 0.278 0.0200788345044855 VASP
7.74765546639992e-07 0.284148872874596 0.136 0.099 0.0207962568029107 SMARCA4
7.78265865509808e-07 0.402038299873948 0.11 0.072 0.0208902123620143 DPM2
8.08742908576596e-07 0.490297109444214 0.157 0.115 0.021708277152013 FAM3A
8.0934886244949e-07 0.39978993681362 0.18 0.131 0.0217245421658692 SPATS2
8.40976515198856e-07 0.280492915223397 0.123 0.071 0.0225734916209677 USP53
8.49641304684342e-07 0.29583950199452 0.248 0.181 0.0228060719003371 AC119396.1
8.71964404148323e-07 0.466727093263523 0.234 0.172 0.0234052685361493 MID1IP1
1.03555147368865e-06 0.351530726080086 0.335 0.268 0.0277962726567506 NDUFB10
1.07869266157464e-06 0.355127375379882 0.179 0.133 0.0289542684219865 TEX264
1.10469427974414e-06 0.673710812352875 0.101 0.057 0.0296522038568921 HCG11
1.14431628385516e-06 0.350337994403856 0.231 0.183 0.0307157376912403 CCS
1.19520162430721e-06 0.312590434924993 0.319 0.254 0.0320816019996541 SELENOW
1.26263466632404e-06 0.644864008376318 0.119 0.072 0.03389163971347 IFI6
1.37085081989255e-06 0.407666394159765 0.123 0.086 0.0367963777075557 CFAP298
1.40295085479411e-06 0.32787235518561 0.131 0.088 0.0376580068443835 NUDT5
1.44474152660841e-06 0.396733510371346 0.104 0.063 0.038779752057223 MAP3K11
1.44490956415095e-06 0.329917582266423 0.304 0.237 0.0387842625209397 SHISA5
1.48628711981937e-06 0.261790941975638 0.402 0.334 0.0398949188701914 NEDD8
1.58877460359281e-06 0.672256192491408 0.104 0.053 0.0426458879096382 CPTP
1.72337584386331e-06 0.794993416623301 0.147 0.098 0.0462588544009789 NINJ1
1.77885048422505e-06 0.377785917022909 0.176 0.13 0.0477479046975687 ECHS1
1.78305984014311e-06 0.505043429460663 0.115 0.063 0.0478608922291215 BX284668.5
1.90390823175596e-06 0.29736450170246 0.19 0.143 0.0511047047567933 AIM2
2.40167396752613e-06 0.301704625954758 0.303 0.257 0.0644657326363365 SEC11C
2.45688981072882e-06 0.296312671276985 0.261 0.204 0.065947836299583 NDUFA7
3.06198179751169e-06 0.276541720461311 0.312 0.24 0.0821897154088087 SDF4
3.35893749526609e-06 0.270282637287167 0.111 0.081 0.0901606002479324 CLK2
3.37931600946628e-06 0.440168309970196 0.192 0.144 0.0907076003260938 FDPS
3.45737751921536e-06 0.320034644156129 0.195 0.148 0.0928029273707787 COMMD3
3.57238345348558e-06 0.263955532000311 0.2 0.162 0.0958899166584599 NDUFAF6
3.57642107461765e-06 0.475802070620329 0.127 0.091 0.0959982944848868 ASCC1
3.5836159449699e-06 0.401197889458986 0.11 0.073 0.0961914191948821 NAGLU
3.60314947687561e-06 0.443650688901209 0.104 0.066 0.0967157382582952 TOB1
3.63923909789444e-06 0.406531480527783 0.105 0.071 0.0976844558656826 RAD51-AS1
3.66424894034381e-06 0.356063528675429 0.396 0.322 0.0983557700567084 PRELID1
3.84266334739101e-06 0.495596599243336 0.209 0.145 0.103144769570669 FLOT1
3.89951216933812e-06 0.309818052133243 0.101 0.076 0.104670705649374 HAUS1
4.05636912087619e-06 0.352884652553786 0.133 0.095 0.108881059942559 RNF5
4.21372676023594e-06 0.335447496068322 0.145 0.104 0.113104853698253 ICAM2
4.27851488679723e-06 0.457983998840627 0.134 0.099 0.114843896591411 RPRD1A
4.28965865204146e-06 0.616035587545707 0.116 0.076 0.115143017538097 AMN
4.43058714023205e-06 0.438611523284801 0.148 0.101 0.118925820018109 TAPBPL
4.54741632372758e-06 0.454324984863556 0.266 0.196 0.122061748961496 CSNK1E
4.57275705244474e-06 0.279020242259313 0.335 0.273 0.122741944801722 CIAO2A
4.58509444634817e-06 0.355544397587784 0.21 0.167 0.123073105128878 SURF1
5.01063492610787e-06 0.308042588057691 0.15 0.113 0.134495462686588 TMED3
5.01637928239716e-06 0.397264017206204 0.136 0.103 0.134649652698105 PGP
5.02760909128047e-06 0.26510796293898 0.364 0.302 0.13495108322815 FBL
5.29558811439988e-06 0.602244507676491 0.139 0.083 0.142144176166722 CD320
5.39097608721343e-06 0.366699894374756 0.292 0.234 0.144704580132983 NDUFB7
5.46847208377397e-06 0.301896796468644 0.358 0.291 0.146784727672661 CORO1B
5.57477123962389e-06 0.257234164553852 0.131 0.102 0.149638009613984 SUPT20H
5.77331408256765e-06 0.481248689546263 0.108 0.077 0.154967296604281 TAX1BP3
5.8793907826259e-06 0.309234676097702 0.185 0.15 0.157814607387244 MPPE1
5.91674645261669e-06 0.517723990678016 0.165 0.105 0.158817308281137 PYCR2
6.11923892845705e-06 0.431555867443192 0.146 0.092 0.164252611317644 PDIA4
6.29434653272537e-06 0.357984495693328 0.168 0.126 0.168952849631414 MRPS26
6.40180664042698e-06 0.390399264167525 0.181 0.131 0.171837293842341 SMIM29
6.49107855335918e-06 0.253996985819079 0.468 0.403 0.174233530529267 NDUFB11
7.46769363909216e-06 0.27852547976369 0.356 0.302 0.200447832660512 CLECL1
7.47249157056124e-06 0.445596241910218 0.159 0.113 0.200576618737005 HIST1H2BK
7.59746163646527e-06 0.423816164698276 0.255 0.179 0.203931065246001 CD63
8.26266877802926e-06 0.309849789900962 0.129 0.102 0.221786555339861 ANKZF1
9.25856151052973e-06 0.435911577079716 0.215 0.153 0.248518308065639 NDUFAF3
9.47148856690841e-06 0.519280012421899 0.146 0.099 0.254233696112955 PAGR1
9.76979167904107e-06 0.690193020138026 0.184 0.117 0.26224074824882 AC073111.4
1.00795294949778e-05 0.424596721112048 0.122 0.089 0.270554730704193 SMAD5
1.09133835075947e-05 0.255327775307523 0.283 0.229 0.292937040110857 UBE2M
1.11406937383602e-05 0.300906099798439 0.256 0.198 0.299038501325066 TALDO1
1.11595431387664e-05 0.328463897586583 0.306 0.248 0.299544456930767 ANAPC11
1.17302781051461e-05 0.277365110941051 0.319 0.264 0.314864124898331 HMGN3
1.23756817075683e-05 0.251925006919213 0.341 0.282 0.33218804839455 P4HB
1.30004348457012e-05 0.408545668506509 0.161 0.123 0.34895767212831 MRPL55
1.30515358829497e-05 0.475175476800637 0.211 0.15 0.350329326170135 ILF3-DT
1.38490374098947e-05 0.312714316381223 0.133 0.099 0.371735862156393 HIKESHI
1.41782959480392e-05 0.419773438359896 0.173 0.13 0.380573819837268 SSRP1
1.44958194088093e-05 0.440964955640241 0.142 0.104 0.389096784571258 GSK3A
1.47733305234864e-05 0.370379603202786 0.112 0.085 0.396545737911422 MCRIP2
1.47851251896435e-05 0.344865093537051 0.117 0.077 0.396862330340412 SH2B1
1.49902911328352e-05 0.432350092163468 0.167 0.122 0.402369394587561 ORAI3
1.75548768316845e-05 0.542938563225005 0.108 0.075 0.471208003916075 MRPL24
1.82628749031948e-05 0.50845990474432 0.102 0.068 0.490212088151555 PIGP
