Motifs	Average log2FC	Adjusted p-value	Cluster
EGR3	0.441778022	6.10582E-11	Other expanded
RELB	0.44309128	5.46497E-16	C1
POU6F1(var.2)	0.443407255	2.26283E-06	Other expanded
FOXK1	0.443804889	6.17596E-21	Not expanded
VENTX	0.444968579	0.235301801	C3
TBX18	0.445880337	0.000181755	C4
RFX5	0.446249769	1	C2
DUX4	0.44631362	2.91967E-06	C3
NR2C2(var.2)	0.446319856	9.86714E-06	C3
TFAP2E	0.447575064	1	C5
HMBOX1	0.450123554	6.31772E-16	C1
PROX1	0.450548534	3.5643E-05	Other expanded
GLIS2	0.450873614	2.69967E-10	C2
RUNX1	0.451218303	0	C1
Creb5	0.451463363	1.62776E-53	Other expanded
HOXC9	0.453167823	3.45489E-06	Other expanded
Pax2	0.453637989	0.008152199	Other expanded
Nobox	0.453835861	1	C4
BARHL1	0.454246023	5.0176E-12	Not expanded
NKX2-5	0.45480419	1.89212E-15	Other expanded
ZNF682	0.455560575	0.881592592	C5
LMX1A	0.455957608	9.13229E-20	Not expanded
RXRA::VDR	0.456105276	4.22369E-06	Not expanded
PAX3(var.2)	0.45662736	4.28977E-11	Not expanded
ETV5	0.456867349	3.81239E-50	C3
FOXG1	0.458473381	2.18897E-41	C1
Foxj2	0.458473381	2.18897E-41	C1
ELK3	0.458772628	0.004863375	C5
GLI2	0.460152093	2.90786E-15	C2
NR2F1(var.3)	0.460627818	5.42633E-08	Other expanded
Nobox	0.462045581	0.761599331	C3
ATF6	0.462337077	3.57427E-15	Other expanded
JDP2(var.2)	0.462815422	8.63933E-63	Other expanded
THAP11	0.465532943	2.55355E-14	C1
Alx1	0.465729047	1.70707E-06	C2
ETV5	0.466749673	5.09631E-12	C4
Dlx1	0.470083072	6.87946E-06	C2
FOSB::JUN	0.470083909	0.009187943	C4
ETS2	0.470965121	6.1014E-114	Not expanded
GSX1	0.472371761	2.02603E-12	Not expanded
GBX1	0.472613629	3.2216E-13	Not expanded
EMX2	0.47267352	7.12244E-06	Other expanded
Npas2	0.473160539	0.000504674	Not expanded
STAT1	0.473213572	5.05504E-06	Not expanded
SOX12	0.475885101	2.8872E-29	C1
